,Sequence name,Sequence length,Number of unique pitches,Max velocity,Min velocity,Avg velocity,Median velocity,Velocity std,Highest pitch,Lowest pitch,Avg pitch,Median pitch,Pitch std,Longest note (s),Shortest note (s),Avg duration (s),Median duration (s),Duration std
1243,LeungM07,1703,47,87,6,51.86,52.0,14.9,101,32,73.01,75.0,12.89,6.45,0.02,0.33,0.19,0.42
1244,LeungM08,1221,42,97,2,57.96,58.0,16.66,101,36,59.48,61.0,10.56,5.99,0.0,0.18,0.09,0.38
1245,LeungM09,934,56,97,11,49.86,48.0,17.54,99,32,65.66,66.0,12.72,7.41,0.03,0.46,0.36,0.49
1246,LeungM10,9659,80,116,2,64.38,67.0,17.51,106,23,67.88,68.0,14.62,6.37,0.0,0.15,0.09,0.24
1247,LeungM11,12694,81,114,3,60.56,61.0,19.66,104,22,66.59,67.0,16.2,6.39,0.0,0.14,0.06,0.29
1248,LeungM12,2794,65,91,3,50.93,52.0,15.19,101,30,71.8,73.0,13.59,6.39,0.02,0.21,0.1,0.37
1249,LeungM13,2123,62,102,3,50.14,51.0,19.96,94,22,49.8,51.0,12.39,5.26,0.03,0.19,0.06,0.46
1250,LeungM14,7777,79,114,3,66.86,68.0,18.35,104,26,69.3,69.0,15.04,2.77,0.0,0.11,0.05,0.17
1251,LeungR02,3260,60,104,3,63.83,64.0,15.4,89,29,61.71,62.0,11.89,2.85,0.02,0.2,0.09,0.29
1252,LeungR03,3327,73,114,2,67.89,69.0,23.03,106,27,66.01,66.0,13.68,7.62,0.02,0.37,0.24,0.46
1253,LeungR04,4154,76,110,5,70.68,72.0,16.07,105,27,77.04,78.0,15.77,0.94,0.0,0.06,0.04,0.06
1254,Levitsky01,3220,60,101,2,57.79,58.0,13.1,89,29,61.68,62.0,11.86,1.71,0.01,0.17,0.07,0.24
1255,Levitsky02,4263,75,111,2,66.48,67.0,16.11,102,27,76.87,78.0,16.04,0.83,0.0,0.05,0.04,0.05
1256,Levitsky03,7103,84,112,2,67.22,68.0,18.46,106,23,68.77,72.0,17.56,5.06,0.0,0.11,0.05,0.27
1257,Levitsky04,1905,45,98,23,69.83,70.0,12.37,83,35,62.19,62.0,9.17,4.82,0.02,0.2,0.09,0.3
1258,Levitsky06,4249,75,107,3,68.02,69.0,16.68,102,27,76.91,78.0,16.08,1.23,0.0,0.05,0.04,0.06
1259,Levitsky07,2562,72,106,3,68.82,70.0,15.8,96,21,64.53,67.0,16.52,3.94,0.0,0.08,0.05,0.15
1260,Levitsky08,5357,73,113,3,71.83,75.0,20.1,100,26,63.48,65.0,14.96,4.02,0.0,0.12,0.07,0.18
1261,Levitsky09,3116,70,102,3,62.86,64.0,14.65,101,30,65.17,65.0,13.27,2.78,0.02,0.18,0.1,0.23
1262,Levitsky10,2169,70,110,3,59.64,60.0,15.37,100,27,67.41,69.0,13.23,11.9,0.0,0.17,0.09,0.46
1263,Levitsky11,4651,64,110,2,64.26,68.0,20.33,93,26,59.84,59.0,11.92,3.47,0.0,0.14,0.07,0.22
1264,Levitsky12,2420,86,112,3,69.08,70.0,14.72,107,21,64.8,65.0,15.8,0.96,0.0,0.07,0.05,0.05
1265,Lee02,1365,73,108,8,72.06,73.0,10.48,101,24,69.04,71.0,17.21,3.39,0.0,0.19,0.07,0.47
1266,Lee03,11615,83,120,2,65.22,67.0,20.31,105,21,63.06,64.0,13.76,16.95,0.0,0.28,0.12,0.58
1267,Levitsky14,1113,44,84,3,51.37,51.0,11.56,87,31,68.53,71.0,9.76,2.86,0.02,0.32,0.28,0.26
1268,Levitsky15,882,51,98,7,69.24,70.0,12.26,89,31,67.45,70.0,11.72,1.27,0.0,0.09,0.05,0.17
1269,Levitsky16,1234,48,85,5,57.97,59.0,11.37,86,33,66.98,69.0,10.39,1.27,0.0,0.16,0.15,0.14
1270,Levitsky17,7290,68,106,3,63.4,66.0,16.97,96,29,62.9,64.0,14.9,3.05,0.0,0.17,0.11,0.23
1271,Levitsky18,6015,77,112,2,61.66,64.0,19.98,101,24,63.54,64.0,13.0,4.38,0.0,0.19,0.12,0.28
1272,Levitsky19,4153,67,105,3,67.39,69.0,16.18,95,23,63.83,64.0,12.94,0.91,0.0,0.06,0.05,0.05
1273,Levitsky20,5589,88,118,3,72.85,76.0,18.9,108,21,65.22,66.0,19.33,12.24,0.0,0.08,0.05,0.19
1274,Li01,2837,51,99,11,58.37,59.0,15.25,89,29,68.1,69.0,10.34,1.27,0.02,0.16,0.1,0.15
1275,Li03,2802,70,111,3,58.3,58.0,19.49,100,24,59.52,62.0,13.67,10.94,0.0,0.2,0.07,0.42
1276,Li04,3118,77,111,3,69.84,71.0,15.93,101,24,67.99,68.0,16.37,3.22,0.0,0.1,0.06,0.17
1277,LiA02,2840,66,115,3,75.92,77.0,15.83,98,28,61.22,60.0,12.47,1.78,0.01,0.11,0.08,0.13
1278,LiA03,1618,55,106,3,71.31,72.5,15.22,99,30,71.49,73.0,14.67,2.54,0.02,0.09,0.06,0.15
1279,LiA04,4000,60,110,3,67.4,69.0,17.01,89,30,63.65,64.0,12.52,4.34,0.0,0.16,0.07,0.23
1280,LiA05,7800,80,116,3,72.13,75.0,20.38,105,21,69.42,69.0,16.23,3.01,0.0,0.11,0.06,0.2
1281,LiA06,7621,73,115,3,67.74,70.0,19.05,101,26,61.01,62.0,11.39,6.38,0.0,0.17,0.07,0.32
1282,LiA07,6617,85,122,3,66.92,69.0,21.85,107,22,58.89,59.0,16.09,10.8,0.0,0.16,0.06,0.46
1283,LiA08,6125,71,111,3,53.84,52.0,18.57,101,29,64.24,64.0,11.19,5.57,0.02,0.2,0.12,0.32
1284,LiA09,5337,77,121,3,73.03,75.0,19.93,103,25,68.43,69.0,16.07,3.54,0.0,0.12,0.05,0.25
1285,LIAO02,2331,49,92,10,60.81,61.0,12.51,89,38,68.55,70.0,9.57,1.49,0.0,0.14,0.09,0.15
1286,LIAO03,1617,59,99,8,63.75,64.0,13.89,99,30,71.43,73.0,14.59,2.5,0.01,0.1,0.07,0.17
1287,LIAO04,1054,48,90,8,54.32,54.0,14.55,86,30,65.07,66.0,10.15,5.33,0.03,0.2,0.09,0.46
1288,LIAO05,3110,79,108,6,69.48,75.0,21.04,102,23,61.61,62.0,17.4,8.58,0.0,0.13,0.07,0.27
1289,LiC02,1607,59,106,3,69.55,70.0,14.67,99,30,71.55,73.0,14.74,2.01,0.01,0.09,0.07,0.14
1290,LiC03,3811,59,109,3,64.33,64.0,16.71,89,29,60.53,61.0,13.24,2.04,0.02,0.15,0.08,0.21
1291,LiC04,1803,65,99,3,55.62,55.0,17.26,101,32,66.83,66.0,12.88,4.48,0.02,0.37,0.26,0.49
1292,LiC05,5542,76,121,3,70.2,71.0,16.59,104,26,65.26,66.0,13.53,3.89,0.0,0.09,0.06,0.15
1293,Lin02,4167,75,111,3,67.19,68.0,16.88,102,27,76.71,78.0,15.69,1.7,0.0,0.07,0.05,0.06
1294,Lin03,5529,78,117,3,65.06,67.0,18.9,103,21,63.24,64.0,13.75,9.99,0.0,0.14,0.08,0.32
1295,Lin04,2241,45,94,2,65.66,66.0,10.12,84,37,64.2,65.0,10.14,1.56,0.0,0.12,0.1,0.13
1296,Lin05,4368,61,109,2,68.78,70.0,16.49,89,29,64.28,65.0,12.04,5.82,0.0,0.2,0.07,0.43
1297,Lin06,5916,78,112,3,68.05,69.0,17.65,101,24,65.09,65.0,14.47,4.89,0.0,0.17,0.08,0.34
1298,Lin07,4133,75,115,2,68.8,70.0,16.76,102,27,76.77,78.0,15.91,4.84,0.0,0.06,0.05,0.12
1299,Lin08,860,42,90,11,60.9,62.0,11.86,84,33,67.96,69.0,9.67,4.4,0.02,0.2,0.08,0.32
1300,Lin09,1770,47,101,3,67.09,68.0,13.09,86,33,67.44,69.0,10.73,3.41,0.0,0.11,0.06,0.21
1301,Lin10,7751,79,119,3,66.38,66.0,18.01,104,26,69.28,69.0,15.09,2.85,0.0,0.1,0.06,0.16
1302,Lin11,4239,63,104,2,56.32,58.0,17.66,97,31,65.58,66.0,13.5,4.95,0.0,0.16,0.08,0.29
1303,Lin12,5463,79,121,2,66.31,68.0,18.46,103,21,63.15,64.0,13.76,10.68,0.0,0.14,0.07,0.36
1304,Lin14,1573,65,106,3,60.11,61.0,15.86,107,28,64.3,64.0,13.57,5.53,0.0,0.21,0.09,0.45
1305,Lin15,1581,67,100,3,52.49,52.0,15.8,100,26,64.51,66.0,14.37,5.93,0.0,0.16,0.1,0.37
1306,Lin16,3054,88,126,3,59.73,59.0,20.24,108,21,66.26,68.0,18.01,5.62,0.0,0.09,0.06,0.17
1307,Lin17,9444,78,114,3,62.34,63.0,17.7,101,24,67.87,68.0,14.75,8.53,0.0,0.14,0.09,0.28
1308,Lisiecki01,4231,55,106,3,58.96,59.0,16.71,92,30,67.34,68.0,12.17,6.4,0.0,0.25,0.17,0.33
1309,Lisiecki02,2743,46,96,3,62.17,63.0,13.79,83,37,63.34,64.0,9.96,4.52,0.0,0.31,0.16,0.44
1310,Lisiecki03,2806,76,115,3,54.77,54.0,17.44,104,25,65.6,65.0,14.36,14.9,0.0,0.27,0.11,0.9
1311,Lisiecki05,5998,65,109,3,58.29,58.0,18.51,94,30,67.46,68.0,12.49,6.47,0.0,0.21,0.13,0.31
1312,Lisiecki06,1641,67,106,3,57.49,55.0,21.3,94,24,58.68,59.0,14.11,14.7,0.0,0.58,0.23,1.11
1313,Lisiecki07,3296,76,116,2,69.39,71.0,17.43,101,24,67.9,68.0,16.66,5.24,0.0,0.15,0.09,0.24
1314,Lisiecki08,2648,72,108,3,56.05,56.0,18.38,108,26,61.97,62.0,13.02,3.04,0.0,0.15,0.11,0.14
1315,Lisiecki09,1308,61,118,3,61.08,60.0,16.16,92,30,64.25,64.0,10.32,0.59,0.0,0.08,0.07,0.05
1316,Lisiecki10,6499,72,105,3,52.66,50.0,18.48,101,29,63.78,63.0,11.22,7.24,0.0,0.23,0.15,0.37
1317,Lisiecki11,2467,63,103,3,46.34,43.0,18.74,102,30,68.46,67.0,12.07,10.6,0.02,0.55,0.36,0.72
1318,Lisiecki13,2738,46,96,3,60.19,61.0,14.29,83,37,63.33,64.0,9.96,5.13,0.0,0.32,0.15,0.51
1319,Lisiecki14,7594,73,114,3,62.89,64.0,20.86,101,26,60.71,62.0,11.65,8.86,0.0,0.22,0.09,0.47
1320,Lisiecki15,4261,81,114,3,50.74,49.0,19.14,105,23,70.93,73.0,12.8,8.37,0.0,0.17,0.09,0.37
1321,Lisiecki16,9502,79,117,3,59.95,61.0,20.67,101,23,67.9,68.0,14.7,8.83,0.0,0.16,0.08,0.31
1322,Liu01,2085,47,102,6,64.58,66.0,13.07,89,38,68.96,69.0,9.5,1.56,0.03,0.17,0.09,0.2
1323,Liu02,2324,71,108,3,68.46,69.0,11.72,101,25,69.15,69.0,15.49,1.72,0.01,0.09,0.07,0.11
1324,Liu03,6238,74,113,3,67.67,68.0,18.37,96,23,61.66,63.0,14.48,4.31,0.01,0.16,0.08,0.27
1325,LiuC01,2195,48,92,4,56.54,57.0,14.26,84,37,64.32,66.0,10.42,7.79,0.03,0.64,0.45,0.59
1326,LEE_K07,24515,77,102,6,57.32,57.0,16.68,101,24,65.33,66.0,13.84,9.6,0.0,0.12,0.06,0.28
1327,LeungM01,5148,57,100,3,65.75,67.0,13.53,86,26,63.82,65.0,10.16,11.05,0.0,0.38,0.15,0.75
1328,LeungR01,2224,47,95,4,63.0,64.0,13.2,84,36,61.56,62.0,9.66,5.93,0.02,0.41,0.24,0.63
1329,Levitsky05,3239,61,102,3,59.9,60.0,14.48,89,29,61.7,62.0,11.87,1.94,0.0,0.18,0.07,0.27
1330,Levitsky13,6972,84,119,3,68.53,70.0,18.56,106,23,68.85,72.0,17.55,5.16,0.0,0.11,0.05,0.27
1331,Li02,5152,78,115,3,63.77,64.0,20.19,103,21,63.03,64.0,13.78,6.67,0.0,0.13,0.06,0.27
1332,LiA01,1653,45,92,16,65.31,66.0,10.62,84,36,62.67,63.0,9.98,4.16,0.02,0.12,0.08,0.25
1333,LIAO01,4519,66,106,7,59.41,61.0,17.49,97,30,63.16,64.0,14.57,4.45,0.01,0.28,0.14,0.41
1334,LiC01,2140,48,92,4,56.53,56.0,14.26,84,37,64.26,66.0,10.4,5.51,0.03,0.64,0.44,0.57
1335,Lin01,4359,61,104,3,67.22,69.0,16.07,89,29,64.44,65.0,11.99,5.31,0.0,0.19,0.08,0.4
1336,Lin13,7397,75,125,3,66.41,68.0,16.22,101,26,61.33,62.0,11.17,10.26,0.0,0.18,0.08,0.46
1337,Lisiecki04,1901,48,91,3,57.17,57.0,14.4,84,36,61.92,62.0,9.6,11.21,0.01,0.47,0.25,0.74
1338,Lisiecki12,2787,76,110,3,53.58,53.0,19.16,104,25,65.61,65.0,14.34,14.66,0.0,0.27,0.11,0.85
1339,LiuC03,1985,87,113,5,57.2,55.0,21.27,108,22,66.5,67.0,19.68,10.18,0.02,0.31,0.12,0.57
1340,LiuC04,6604,84,119,3,73.41,77.0,20.36,107,23,64.41,64.0,16.3,4.99,0.0,0.08,0.05,0.16
1341,LiuC05,4011,75,117,3,69.68,70.0,18.58,102,27,77.37,79.0,15.79,1.82,0.0,0.06,0.05,0.1
1342,LiuY01,1630,47,99,22,61.56,61.0,13.06,84,33,61.11,61.0,10.21,2.81,0.02,0.25,0.12,0.26
1343,LiuY02,3321,61,107,5,61.41,62.0,15.54,89,29,68.08,70.0,11.9,7.19,0.0,0.17,0.08,0.32
1344,LiuY03,4187,75,125,3,71.73,72.0,17.56,102,27,76.82,78.0,16.24,1.64,0.0,0.05,0.04,0.08
1345,LiuY04,7816,80,120,3,68.59,70.0,18.67,105,23,66.12,68.0,15.47,3.87,0.0,0.1,0.05,0.17
1346,LiuY06,7310,68,117,3,65.89,68.0,19.72,96,29,62.73,63.0,15.0,3.2,0.01,0.13,0.07,0.21
1347,LiuY07,4163,73,113,3,59.39,58.0,21.14,97,23,64.66,65.0,16.21,4.43,0.02,0.19,0.09,0.3
1348,LiuY08,4055,83,126,3,70.68,72.0,19.76,105,21,61.18,63.0,17.25,6.54,0.02,0.2,0.07,0.4
1349,LiuY09,2336,59,107,3,52.12,51.0,16.62,97,25,63.81,64.0,13.44,4.14,0.02,0.2,0.08,0.34
1350,LiuY10,2671,68,120,3,59.74,60.0,19.88,100,28,66.02,66.0,11.66,2.75,0.0,0.12,0.07,0.21
1351,LiuY11,10150,83,114,2,67.93,70.0,20.36,103,21,61.29,62.0,15.28,10.69,0.0,0.17,0.06,0.39
1352,LiuY12,4196,82,114,2,68.86,71.0,19.58,103,22,61.36,62.0,15.87,6.54,0.0,0.15,0.05,0.37
1353,LiuY13,1980,72,110,3,58.58,55.0,23.22,99,23,60.73,62.0,15.27,10.69,0.0,0.39,0.24,0.64
1354,LiYZ01,2893,47,97,6,59.43,59.0,12.37,84,37,62.26,63.0,10.23,9.0,0.02,0.41,0.29,0.49
1355,LiYZ02,1369,73,113,8,81.08,82.0,11.36,101,24,69.28,72.0,17.13,3.74,0.0,0.18,0.08,0.4
1356,LiYZ03,3841,59,110,4,66.17,66.0,19.18,89,29,60.52,61.0,13.19,4.45,0.0,0.17,0.08,0.28
1357,LiYZ04,6830,80,118,2,71.47,72.0,18.65,105,23,70.29,71.0,16.29,9.07,0.0,0.13,0.05,0.39
1358,LiYZ05,1110,49,102,4,64.03,65.0,15.84,97,32,69.5,70.0,12.67,1.75,0.02,0.21,0.11,0.22
1359,LiYZ06,7524,74,117,3,67.83,70.0,19.26,101,26,61.14,62.0,11.2,10.15,0.0,0.19,0.07,0.42
1360,LiYZ07,13596,86,122,2,59.19,58.0,19.05,107,21,65.67,67.0,16.19,7.14,0.0,0.18,0.07,0.44
1361,LiYZ09,1344,68,85,3,44.78,43.0,12.13,102,22,64.08,65.0,12.68,7.14,0.03,0.69,0.32,0.89
1362,LiYZ10,7615,86,122,2,63.88,64.0,19.76,107,21,62.61,63.0,17.75,6.4,0.0,0.12,0.06,0.32
1363,Lo01,3306,55,102,6,64.0,65.0,15.33,89,31,65.15,66.0,11.06,1.69,0.02,0.14,0.1,0.16
1364,Lo02,3074,71,119,3,68.45,70.0,15.11,102,30,71.2,73.0,15.83,0.38,0.0,0.06,0.05,0.04
1365,Lo03,3067,85,124,3,73.79,77.0,20.03,108,21,64.99,67.0,17.9,2.46,0.0,0.14,0.08,0.23
1366,Lou01,2243,45,90,16,64.72,65.0,9.52,84,37,64.24,65.0,10.14,2.0,0.03,0.14,0.11,0.17
1367,Lou02,3957,65,109,7,64.72,66.0,15.75,94,30,67.48,68.0,12.66,4.43,0.0,0.17,0.11,0.25
1368,Lou03,2327,71,104,13,70.44,71.0,11.21,101,25,69.18,69.0,15.44,1.73,0.0,0.11,0.08,0.15
1369,Lu01,3115,45,107,3,74.03,75.0,12.93,84,36,61.59,62.0,9.82,1.47,0.0,0.1,0.09,0.08
1370,Lu02,2012,49,103,3,66.18,66.0,13.75,89,34,67.39,68.0,10.03,2.49,0.0,0.14,0.07,0.2
1371,Lu03,3126,71,118,2,72.27,74.0,14.53,102,30,71.19,73.0,15.92,0.32,0.0,0.06,0.05,0.03
1372,Lu04,5746,70,119,2,67.77,69.0,18.27,106,30,66.31,67.0,13.17,3.15,0.0,0.15,0.08,0.19
1373,Lu05,4577,74,116,2,68.28,70.0,17.98,103,29,67.88,67.0,14.85,3.06,0.0,0.14,0.06,0.3
1374,Lu06,2269,48,99,3,59.81,59.0,17.23,84,30,62.72,63.0,9.34,6.37,0.02,0.27,0.13,0.49
1375,Lu07,6477,85,126,2,64.39,67.0,25.54,107,22,58.77,59.0,16.36,10.65,0.0,0.17,0.06,0.46
1376,Lu09,7576,74,106,2,68.46,72.0,17.9,101,24,61.28,62.0,11.2,3.8,0.0,0.17,0.07,0.31
1377,Lu10,9364,72,108,2,62.51,62.0,19.63,94,21,59.16,60.0,12.24,8.67,0.0,0.33,0.16,0.51
1378,LuA01,1198,44,98,7,62.81,62.0,13.54,83,37,64.28,64.0,9.44,6.51,0.02,0.34,0.15,0.61
1379,LuA02,2625,54,105,3,64.68,64.0,14.55,89,34,65.17,65.0,10.93,2.41,0.02,0.19,0.08,0.29
1380,LuA03,1428,55,98,3,57.34,56.0,15.47,94,27,63.25,63.5,11.37,4.92,0.02,0.44,0.29,0.53
1381,LuA04,2683,67,112,2,71.13,72.0,14.68,100,24,60.41,60.0,13.38,1.01,0.0,0.08,0.07,0.06
1382,LuA05,5320,78,123,2,72.27,74.0,19.58,103,21,62.96,64.0,13.82,7.98,0.0,0.14,0.06,0.32
1383,LuM01,2432,46,100,4,62.79,63.0,14.22,83,37,62.16,62.0,9.56,7.93,0.03,0.29,0.17,0.41
1384,LuM03,13128,69,126,2,68.16,70.0,19.12,98,29,62.48,63.0,15.01,5.49,0.0,0.19,0.09,0.31
1385,LuM04,6266,68,124,2,68.19,70.0,19.45,96,29,62.29,63.0,15.68,4.93,0.0,0.17,0.08,0.29
1386,LuM05,1978,51,107,7,54.65,52.0,17.54,94,30,61.85,61.0,13.36,5.49,0.02,0.46,0.28,0.5
1387,LuM06,4884,68,126,3,73.58,75.0,16.4,98,29,62.99,63.0,14.74,4.49,0.0,0.11,0.08,0.13
1388,LUO01,4171,60,102,7,66.97,69.0,16.57,89,29,64.27,65.0,12.0,5.73,0.0,0.19,0.08,0.39
1389,LUO02,6704,78,113,6,68.52,71.0,17.62,101,24,64.2,64.0,15.95,4.9,0.0,0.09,0.05,0.18
1390,LUO03,2938,85,119,6,57.54,57.0,19.88,106,21,66.23,68.0,18.16,2.47,0.0,0.08,0.06,0.11
1391,LuoJ02,7953,61,105,5,59.92,59.0,15.77,89,29,61.15,61.0,11.62,10.67,0.0,0.2,0.09,0.39
1392,LuoJ03,3339,59,105,7,66.87,69.0,15.26,89,30,60.63,62.0,11.59,1.59,0.0,0.11,0.09,0.13
1393,LuoJ04,4614,60,97,5,54.89,53.0,14.14,89,29,61.53,60.0,11.63,10.67,0.02,0.26,0.1,0.5
1394,LuoJ05,629,75,110,7,80.04,83.0,15.18,105,24,61.18,58.0,18.66,4.84,0.03,0.2,0.1,0.49
1395,LuoJ06,2524,76,114,3,75.76,77.0,15.54,103,26,63.26,64.0,16.03,2.5,0.0,0.08,0.06,0.13
1396,LuoJ07,3209,70,108,4,69.2,71.0,14.94,104,35,74.07,73.0,14.35,4.65,0.0,0.16,0.1,0.27
1397,LuoJ08,2124,64,114,3,74.67,74.0,15.18,92,24,57.77,55.0,14.69,2.83,0.0,0.16,0.09,0.25
1398,LuoJ09,4310,62,106,3,57.92,59.0,15.67,97,32,65.4,65.0,13.42,4.14,0.02,0.19,0.09,0.28
1399,LuoJ11,5427,88,117,3,69.73,71.0,18.14,108,21,63.76,64.0,19.47,14.21,0.0,0.2,0.07,0.48
1400,LuoJ12,5905,78,111,3,70.84,72.0,17.42,102,24,64.79,64.0,14.49,4.97,0.0,0.17,0.09,0.31
1401,MaslovV07,1524,59,107,2,61.51,61.0,20.83,89,22,54.39,54.0,13.11,6.13,0.0,0.12,0.06,0.32
1402,MaslovV08,1185,56,106,3,56.6,56.0,17.1,96,27,69.41,72.0,10.01,3.29,0.02,0.18,0.09,0.26
1403,MaslovV09,1149,59,111,3,49.51,46.0,18.18,91,24,57.93,60.0,12.65,5.4,0.03,0.46,0.26,0.63
1404,MaslovV10,2079,69,111,2,65.59,67.0,19.62,98,26,65.84,66.0,13.32,4.12,0.0,0.13,0.07,0.19
1405,MaslovV11,1304,79,114,3,68.58,70.0,15.79,106,22,68.22,69.0,14.98,10.54,0.0,0.13,0.07,0.53
1406,MaslovV12,1730,67,117,3,75.14,79.0,18.17,95,27,65.31,66.0,14.08,1.6,0.0,0.09,0.06,0.12
1407,MaslovV13,999,65,111,3,53.7,51.0,20.49,100,25,61.98,62.0,12.27,7.71,0.0,0.42,0.17,0.76
1408,LiuY05,6072,71,101,3,52.0,50.0,16.77,101,29,64.21,64.0,11.22,3.69,0.02,0.16,0.1,0.26
1409,LiuY14,3974,77,114,3,71.6,73.0,18.1,98,21,61.5,62.0,14.62,0.83,0.0,0.07,0.05,0.06
1410,LiYZ08,4637,81,115,3,55.66,55.0,16.47,105,23,71.15,73.0,12.58,6.29,0.0,0.15,0.08,0.28
1411,Lou04,3767,82,126,2,71.6,73.0,21.65,103,21,58.69,57.0,18.67,17.81,0.0,0.26,0.09,0.88
1412,Lu08,2873,51,99,4,64.25,66.0,16.01,89,29,68.17,69.0,10.34,2.2,0.0,0.15,0.09,0.17
1413,LuM02,1392,74,115,3,73.31,75.0,15.05,101,24,69.27,71.0,17.03,2.92,0.0,0.18,0.07,0.43
1414,LuoJ01,1564,45,95,17,67.84,68.0,9.34,84,36,62.52,64.0,10.16,3.95,0.03,0.14,0.11,0.19
1415,LuoJ10,7558,74,112,3,69.18,71.0,17.52,101,26,60.99,62.0,11.34,6.07,0.0,0.18,0.08,0.31
1416,MaslovV01,8552,70,109,3,60.8,61.0,18.47,97,27,63.2,64.0,14.58,7.36,0.0,0.29,0.15,0.44
1417,MaslovV15,16617,74,118,1,62.04,61.0,18.45,101,26,60.52,60.0,13.27,5.18,0.0,0.2,0.09,0.35
1418,MaslovV16,4890,70,117,2,62.37,61.0,18.04,97,26,60.21,60.0,13.14,4.32,0.0,0.2,0.12,0.27
1419,MaslovV17,2744,62,110,3,50.34,47.0,18.36,92,29,58.55,56.0,11.66,5.18,0.0,0.46,0.15,0.66
1420,MaslovV18,1694,56,106,3,59.19,58.0,16.98,94,32,60.71,59.0,12.96,2.61,0.02,0.15,0.09,0.17
1421,MaslovV19,7289,73,118,1,66.88,67.0,16.94,101,28,61.42,60.0,13.89,2.3,0.0,0.11,0.07,0.16
1422,Masycheva01,1615,52,97,3,65.48,68.0,13.02,88,32,66.17,66.0,11.46,3.02,0.02,0.16,0.09,0.23
1423,Masycheva02,2356,71,107,3,67.57,69.0,11.49,101,25,69.21,69.0,15.48,2.1,0.0,0.09,0.07,0.14
1424,MaslovV02,1507,69,101,17,59.96,59.0,16.77,95,27,66.09,66.0,14.98,4.32,0.0,0.35,0.23,0.48
1425,MaslovV03,1440,66,109,7,69.39,72.0,17.09,95,28,62.17,64.0,14.75,2.13,0.0,0.19,0.12,0.2
1426,MaslovV04,5605,66,105,3,58.81,59.0,18.62,97,30,62.69,64.0,14.33,7.36,0.0,0.3,0.14,0.47
1427,MaslovV05,17624,76,113,2,66.67,68.0,19.18,101,22,64.15,65.0,13.4,3.76,0.0,0.16,0.09,0.22
1428,Masycheva04,6068,77,126,2,69.66,72.0,20.44,99,22,61.09,62.0,14.79,35.27,0.0,0.2,0.05,0.7
1429,MATSUM01,3463,64,110,8,63.9,63.0,14.1,90,26,61.52,62.0,13.14,3.01,0.0,0.15,0.08,0.21
1430,MATSUM02,2230,70,113,6,68.5,69.0,15.11,101,24,63.96,65.0,12.99,1.03,0.0,0.09,0.08,0.09
1431,MATSUM03,3958,74,113,7,68.88,70.0,17.63,100,24,62.33,63.0,13.85,6.97,0.0,0.17,0.09,0.33
1432,MATSUM04,4570,79,117,6,72.56,75.0,18.25,102,22,66.04,67.0,16.43,5.41,0.0,0.18,0.09,0.31
1433,MaximovI01,1925,47,104,3,68.17,69.0,12.83,84,36,61.62,62.0,10.17,11.74,0.0,0.35,0.13,0.68
1434,MaximovI02,11586,61,109,3,65.78,67.0,16.64,89,29,61.75,62.0,12.01,5.06,0.0,0.23,0.1,0.33
1435,MaximovI04,2176,55,91,3,50.34,49.0,14.65,89,31,59.72,58.0,10.99,5.06,0.03,0.49,0.33,0.54
1436,MaximovI05,1954,49,105,3,69.41,72.0,15.04,86,33,62.55,63.0,10.93,1.45,0.0,0.16,0.1,0.17
1437,MaximovI06,3575,60,107,3,68.42,70.0,14.82,89,29,63.83,65.0,11.42,4.89,0.0,0.2,0.1,0.24
1438,MaximovI07,3762,68,109,3,60.67,59.0,16.63,102,23,62.44,65.0,11.83,12.58,0.02,0.41,0.24,0.67
1439,MaximovI08,13120,83,126,2,71.82,75.0,19.48,106,22,61.6,62.0,15.58,12.77,0.0,0.26,0.11,0.48
1440,MaximovI09,5142,78,118,3,70.59,73.0,19.19,101,22,61.55,62.0,15.36,12.77,0.0,0.37,0.16,0.64
1441,MaximovI10,1629,66,90,15,53.9,54.0,12.29,94,29,62.37,64.0,13.31,3.85,0.03,0.3,0.2,0.35
1442,McNamara01,3313,61,111,3,62.58,64.0,18.14,89,29,68.14,70.0,11.87,4.11,0.0,0.19,0.1,0.31
1443,McNamara02,5176,76,121,3,68.72,72.0,22.52,101,26,65.33,65.0,14.23,7.87,0.0,0.17,0.08,0.32
1444,McNamara03,3701,71,125,3,70.3,74.0,22.7,98,28,63.53,64.0,14.21,5.84,0.0,0.14,0.06,0.33
1445,MCVEY01,1503,53,97,8,64.01,65.0,13.88,88,30,66.84,69.0,10.52,3.55,0.0,0.21,0.12,0.28
1446,MCVEY02,4426,77,115,6,72.64,75.0,20.03,104,28,65.38,64.0,16.39,2.23,0.0,0.11,0.07,0.15
1447,MCVEY03,3374,66,106,6,67.48,69.0,17.26,98,26,67.08,67.0,12.25,5.6,0.0,0.17,0.07,0.37
1448,MCVEY04,4642,76,117,6,63.13,63.0,21.14,97,21,63.21,64.0,13.14,11.06,0.0,0.27,0.14,0.46
1449,Meek02,2767,80,119,2,67.91,69.0,18.97,107,24,66.74,65.0,14.07,2.99,0.0,0.15,0.05,0.26
1450,Meek03,4912,61,109,3,66.15,66.0,15.46,89,29,60.44,61.0,13.85,4.55,0.0,0.12,0.06,0.26
1451,Meek04,960,73,110,3,58.82,58.0,19.1,106,21,73.86,74.0,15.13,6.12,0.0,0.27,0.15,0.42
